link to this file on google sheets: https://docs.google.com/spreadsheets/d/1eI7zJm2HEE_aYC_CgSVhfve1WnVmyOPyZ6fBsGCN0DA/edit#gid=0,,,
"Initial Unruggable Memecoin MVP Functionality

Factory contracts for token creation and distribution
Fair distribution mechanisms in initial deployment
Liquidity added at launch, with LP tokens locked
Prevent token transfers before official launch
Max buy percentage limit implemented
Max team allocation percentage enforced",,,
,,,
,,,
Category,Description from de.fi,Unrug Feature,Description Unrug
maximum holders before launch safeguard,N/A,maximum holders before launch safeguard,"the max amount of holders before launch allowed)
"
team allocation check,N/A,team allocation check,Every transfer before launch should be considered as team allocation. 
Fair ICO,N/A,Fair ICO to solve low initial liquidity,"Pre-launch memecoin ICO to address liquidity, with conditional token release."
"Merkle Airdrop Support for Initial Token Distribution
",N/A,"Merkle Airdrop Support for Initial Token Distribution
","Merkle airdrop for token distribution, with secure, efficient claiming process."
Vesting Options for Initial Team Token Distribution,N/A,Vesting Options for Initial Team Token Distribution,"Configurable, secure vesting options for initial team distribution"
Allocation Strategy for Community Boost,N/A,Allocation Strategy for Community Boost,"Boost meme community engagement by allocating Unruggable Memecoin based on specific criteria, enhancing attention and activity."
Token Compliance Screening ,N/A,Token Compliance Screening ,Token Compliance Screening Page for Unruggable Memecoin Standards
Six-Month LP Locking Feature,N/A,Six-Month LP Locking Feature,Six-Month Locking Feature for Liquidity Provider Tokens in Smart Contract
Automated Pair Creation and Liquidity Addition,N/A,Automated Pair Creation and Liquidity Addition,The proposed enhancement of the launch_memecoin function aims to streamline the process of introducing a new memecoin into the market by automating the creation of a trading pair and the initial liquidity provision on an Automated Market Maker (AMM) platform. 
Disable buy limit check after specific time passes,N/A,Disable buy limit check after specific time passes,"Disable buy limit check after specific time passes. no balance limit after a month.
The goal is to set a specific timestamp value in constructor on memecoin. Then use this timestamp to check that is there still buy limit or not.

balance limit automatically disables after a month.

"
Ensure liquidity is locked in the constructor,N/A,Ensure liquidity is locked in the constructor,"
Issue: Ensure liquidity is locked in the constructor.
The goal of this issue is to find a way to make the deployer lock liquidity in the contract to make sure the devs will indeed create a liquidity pool in an AMM.

Objective
This issue adds a new protection for the users as it forces the devs to launch with Unruggable Meme.

"
Protection Against Multicall Buys in Memecoin Launch,N/A,Protection Against Multicall Buys in Memecoin Launch,"Description
This issue addresses the need for enhanced security measures in the Unruggable Memecoin project to protect against potential attack vectors that could arise from the multicall feature, specifically during the coin launch phase. The proposed solution involves utilizing get_tx_info to limit purchases not just per account address but also per transaction hash.

Objective
To mitigate risks associated with multicall attacks where limits can be bypassed through multiple smart contract calls in the same transaction.

Impact and Benefits
Enhanced Security: Significantly reduces the risk of multicall buy attacks during the coin launch phase.
Fairness: Ensures equitable buying opportunities for all participants by enforcing limits consistently."
